,amount_transactions,number_transactions,breakdown
711,100000000.0,1.0,Millions
712,5115000.0,10.0,Millions
713,1354708.61,1.0,Millions
714,1114906.08,1.0,Millions
715,1160000.0,1.0,Millions
716,4000000.0,1.0,Millions
717,8000000.0,1.0,Millions
718,3000000.0,1.0,Millions
719,3000000.0,1.0,Millions
720,1500000.0,1.0,Millions
721,2500000.0,1.0,Millions
722,4000000.0,1.0,Millions
723,1961821.0,1.0,Millions
724,4156320.0,21.0,Millions
725,14507000.0,2.0,Millions
726,15435035.0,1.0,Millions
727,20270988.09,3.0,Millions
728,97500000.0,9.0,Millions
729,95000000.0,2.0,Millions
730,1050000.0,1.0,Millions
731,1596567.0,1.0,Millions
732,2138881.5,1.0,Millions
733,1400000.0,1.0,Millions
734,2614834.39,1.0,Millions
735,2256567.9,1.0,Millions
736,7300000.0,1.0,Millions
737,32840664.28,1.0,Millions
738,4999889.25,1.0,Millions
739,1000000.0,1.0,Millions
740,4282057.88,1.0,Millions
741,3000000.0,1.0,Millions
742,4395000.0,1.0,Millions
743,1618800.0,1.0,Millions
744,3597500.0,1.0,Millions
745,2895000.0,1.0,Millions
746,10036000.0,1.0,Millions
747,3586200.0,1.0,Millions
748,7949880.0,1.0,Millions
749,4758000.0,1.0,Millions
750,3460000.5,1.0,Millions
751,3825030.0,1.0,Millions
752,2550000.0,1.0,Millions
753,10440000.0,1.0,Millions
754,10000000.0,1.0,Millions
755,457984607.0,,Millions
756,223333000.0,,Millions
757,239940000.0,1.0,Millions
758,1630434.78,1.0,Millions
759,2900000.0,2.0,Millions
760,8499977.0,1.0,Millions
761,15000000.0,1.0,Millions
762,11416953.96,11.0,Millions
763,11238365.0,2.0,Millions
764,106666667.0,1.0,Millions
765,4572273.25,25.0,Millions
766,1321500.0,11.0,Millions
767,8260868.05,55.0,Millions
768,4774344.81,67.0,Millions
769,5000000.0,1.0,Millions
770,6025100.0,35.0,Millions
771,15487914.95,12.0,Millions
772,16897280.0,7.0,Millions
773,64091396.78,79.0,Millions
774,90000000.0,1.0,Millions
775,90000000.0,1.0,Millions
776,5300000.0,2.0,Millions
777,8698041.0,3.0,Millions
778,11290572.0,48.0,Millions
779,18406849.55,2.0,Millions
780,2040000.0,,Millions
781,2000000.0,,Millions
782,18061500.0,54.0,Millions
783,41553000.0,34.0,Millions
784,50000000.0,1.0,Millions
